username;date;text;id
drisso1893;2016-03-21 23:22;@aeolianine cool. The rticle package looks nice! Should mention the #bioconductor BiocStyle package too. Very useful for vignettes.;712056861994844161
carleshf;2016-03-15 18:23;Great job @albita_gs ! #psygenet #R #Bioconductor https:// twitter.com/albita_gs/stat us/709806930357850112 ;709807172155211776
Sorena997;2016-03-13 16:43;@CI4CC #ci4cc2016 #Bioconductor Go to https:// bioconductor.org for more information.  Attend the annual meetings !;709057310853705728
Sorena997;2016-03-13 16:41;@CI4CC #ci4cc2016 #Bioconductor development and use reflects more of a solid commercial product than an open source tool! Fantastic Effort !;709056843394342912
groundwalkergmb;2016-03-12 04:26;@henrikbengtsson @Bioconductor It's #Bioconductor . See logo.;708509497820626944
henrikbengtsson;2016-03-12 03:17;Once and for all: #Bioconductor or #BioConductor ? #rstats , cc @Bioconductor;708492026698797056
enricoferrero;2016-03-09 16:08;LOLA: overlap significance of genomic regions against large public database http:// databio.org/lola/ #rstats #bioconductor #bioinfomatics;707598910420873216
brennanpcardiff;2016-03-09 14:48;#vizbi Link to #Bioconductor package mentioned by Zaugg https://www. bioconductor.org/packages/relea se/bioc/html/SNPhood.html ;707578894589669376
DrMarkDunning;2016-03-02 09:33;Fancy coming to Portugal to learn RNA- and ChIP-seq analysis in #bioconductor ? March 29th - April 1st. Apply here http:// bit.ly/1Uy4TwY;704962932199727108
seandavis12;2016-02-28 01:52;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/ExperimentHub.html  ExperimentHub Client to access ExperimentHub;703759678531043329
iacus;2016-02-26 14:06;CSAMA 2016 | Statistics and Computing in Genome Data Science #Bioconductor course http://www. huber.embl.de/csama2016/ #csama2016 Registration Open!;703219710150647808
Bioconductor;2016-02-25 20:07;#rstats / #bioconductor New Package Submission Deadline March 25 https://support.bioconductor,org/p/78868/;702948154434580480
agapow;2016-02-24 15:50;Does #bioconductor biomart package work with http:// genenames.org any more? Tried to convert some probe IDs & can't connect to the sever.;702520899346554881
Bioconductor;2016-02-22 14:55;#rstats / #Bioconductor Course: Statistics and Computing in Genome Data Science, July 10-15, 2016, http://www. huber.embl.de/csama2016/;701782447646752770
seandavis12;2016-02-19 21:24;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/metaCCA.html  metaCCA Summary Statistics-Based Multivariate Meta;700793187116433409
Bioconductor;2016-02-19 20:33;#Bioconductor 3.3 release schedule: http:// bioconductor.org/developers/rel ease-schedule/ ;700780357000388608
nclbsu;2016-02-16 16:14;New courses open for registration. 16th - 20th May, #rstats and #bioconductor http:// bsu.ncl.ac.uk/support/course s/ ;699627953873879040
a2idea;2016-02-06 12:19;"LOLA: enrichment analysis for #genomic region sets and regulatory elements in #R and #Bioconductor " http:// bioinformatics.oxfordjournals.org/cgi/content/sh ort/32/4/587?rss=1 ;695944814190133248
jp_gorman;2016-02-06 10:21;Well impressed with the effort that gets put into #bioconductor r package ensemble, docs courses and sample workflows look really good.;695915328828764160
seandavis12;2016-02-05 21:35;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/RCy3.html  RCy3 Display and manipulate graphs in Cytoscape >= 3.3.0;695722410843238400
ksamuk;2016-02-03 23:29;Another #rstats #bioconductor gem: SNPRelate, high performance implementation of PCA and much more for SNP data https://www. bioconductor.org/packages/relea se/bioc/html/SNPRelate.html ;695026393684406276
wolfgangkhuber;2016-02-02 14:04;Now on #Bioconductor : IHW for FDR with data-driven hypothesis weighting http://www. bioconductor.org/packages/devel /bioc/html/IHW.html  preprint is here: http:// biorxiv.org/content/early/ 2015/12/13/034330 ;694521865897951232
hdashnow;2016-02-01 03:40;MissMethyl authors @BelindaPhipson @JovMaksimovic @AliciaOshlack showing off awesome logo #r #bioconductor #lca2016 pic.twitter.com/uwduZS3TND;694002261744160768
hdashnow;2016-02-01 03:28;Next up in the Open Source and Bioinformatics miniconf: @BelindaPhipson talking about #R and #Bioconductor #lca2016;693999435991244800
seandavis12;2016-02-01 02:25;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/GenVisR.html  GenVisR Genomic Visualizations in R: Produce highly;693983574265978881
aefrieden;2016-01-29 22:26;I always know I am working on #biostats when all my chrome tabs have the #bioconductor symbol.;693198521730797568
AedinCulhane;2016-01-29 22:15;Easier Gene Set Enrichment analysis in #bioconductor #rstats http:// bmcbioinformatics.biomedcentral.com/articles/10.11 86/s12859-016-0884-1 ;693195691766738944
spleonard1;2016-01-22 22:00;Great talk from @mikelove on #DESeq2 !  I don't envy him explaining biology of RNAseq to pure statisticians... #R #bioconductor;690655366904819712
enricoferrero;2016-01-22 10:57;Getting an error with DESeq2::rlog() when using fast=TRUE? https:// support.bioconductor.org/p/73736/#77297 #rstats #bioinformatics #bioconductor;690488571128602624
AedinCulhane;2016-01-22 08:51;I've heard really great professors teach this course #rstats #Bioconductor https:// twitter.com/rafalab/status /676831629235630080 ;690456752081539073
seandavis12;2016-01-16 21:13;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/cellTree.html  cellTree Inference and visualisation of Single-Cell RNA;688469217335726080
seandavis12;2016-01-14 06:40;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/rnaseqcomp.html  rnaseqcomp Benchmarks for RNA-seq Quantification;687524704526176256
Bioconductor;2016-01-11 11:51;New job opportunity: #rstats / #Bioconductor core team Senior Programmer / Analyst http://www. roswellpark.org/careers/admini strative/senior-programmeranalyst-4301 ;686515699435614208
spleonard1;2016-01-05 18:31;"GO analysis using clusterProfiler" http://www. r-bloggers.com/go-analysis-us ing-clusterprofiler/  via @rbloggers Great package! #r #bioconductor;684442233043484672
Bioconductor;2016-01-04 19:34;New #Bioconductor package submission process https:// support.bioconductor.org/p/76472/;684095631716167680
spleonard1;2015-12-30 06:55;. @KasperDHansen your #bioconductor #coursera is great!  Thanks so much!;682092594130636800
Bioconductor;2015-12-28 20:02;#Bioconductor http:// bioconductor.org to be down for scheduled maintenance. 30 mins starting at 12:01PM Thurs 12/31 https:// support.bioconductor.org/p/76368/;681566013972873216
seandavis12;2015-12-24 21:13;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/kimod.html  kimod A k-tables approach to integrate multiple Omics-Data;680134297077084160
RLangTip;2015-12-24 16:05;SANTA will help you quantify the association between a gene and a molecular network http:// bit.ly/1YmXg0a #rstats #bioconductor;680056756253421568
labrazil;2015-12-24 09:42;#R / #Bioconductor tool to download, process and prepare #TCGA data. @TCGAupdates @bioconductor @LABioconductor http:// nar.oxfordjournals.org/cgi/content/lo ng/gkv1507v1 ;679960383726161921
seandavis12;2015-12-23 18:24;Statistical Methods for Functional #Genomics course @cshlmeetings announcement: http:// bit.ly/1YBFpO5 #bioinformatics #bioconductor;679729402859642880
RNASeqBlog;2015-12-21 17:48;An end-to-end gene-level #RNASeq differential expression workflow using #Bioconductor packages - http:// go.shr.lc/1S5ni3b;678995470027329536
canninl;2015-12-19 16:59;paxtoolsr: 16 pathway databases/1.1M interactions; help expand use in #bioconductor . #rstats http:// goo.gl/IQllOl pic.twitter.com/u8Oa74kJWl;678258362006507521
Thomas_F_Hahn;2015-12-16 22:39;I am an almost blind student looking for tutor for bioconductor. Contact me via Skype at tfh002 or at Thomas.F.Hahn3@gmail.com #bioconductor;677256749175345152
seandavis12;2015-12-15 13:55;Thanks, @depsy_org for http:// bit.ly/1NRbrnw . Would be great to see #bioconductor repositories added in addition to #Rstats CRAN pkgs.;676762563237965824
spleonard1;2015-12-13 19:27;"msa: an R package for multiple sequence alignment" #r #bioconductor http:// bioinformatics.oxfordjournals.org/cgi/content/sh ort/31/24/3997?rss=1 ;676121295113682944
AMathelier;2015-12-10 16:54;@Patrick_J_Short @WyWyWa @ofornes Sorry for late reply. @Bioconductor JASPAR2016 package under review at #Bioconductor . Hopefully out soon.;674995558512066560
TomSchwarzl;2015-12-07 16:43;@mikelove : sequencing biases strongly affects transcript level estimations - http:// bit.ly/1jKg2vp #bioinformatics #bioconductor DevConf;673905783197868032
TomSchwarzl;2015-12-07 14:21;shinyURL - great package to share your current shiny view,  Andrzej Oles @#bioconductor DevConf #bioinformatics;673870041763422208
TomSchwarzl;2015-12-07 14:14;Robert Gentleman (23andMe) about advantages of PheWAS over GWAS. Also opportunities for validations. #Bioconductor DevConf #Bioinformatics;673868134219194368
rnomics;2015-12-04 14:02;A Computational Pipeline for Cross-Species Analysis of http:// bit.ly/1NvZOOr #AnalysisPipelines #bioconductor #bioinformatics #RNAseq;672777902560116736
canninl;2015-12-04 13:38;Access 20,861 drug response profiles & omics with rcellminer and Shiny #rstats #bioconductor http:// goo.gl/KlJQ0n pic.twitter.com/k6BxBxfC3J;672771920295759873
enricoferrero;2015-12-04 10:42;How to correctly import Bismark coverage files into bsseq? https:// support.bioconductor.org/p/75502/ #genomics #bioinformatics #rstats #bioconductor;672727654475407360
la_press;2015-12-03 23:46;A Computational Pipeline for Cross-Species Analysis of #RNA -seq Data Using R and #Bioconductor http:// ow.ly/Vpg4b;672562510692802560
seandavis12;2015-12-03 02:33;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/diffHic.html  diffHic Differential Analyis of Hi-C Data: Detects;672242321845567488
GregFinak;2015-12-02 18:25;#OpenCyto and other free, open source cytometry data analysis tools reviewed. #Bioconductor #rstats http://www. the-scientist.com/?articles.view /articleNo/44593/title/Free-Flow/ ;672119382227599360
seandavis12;2015-11-24 23:45;Extending @SBGenomics with #Amazon #Redshift , #Rstats and #bioconductor http:// amzn.to/1XpqdD6 via @awscloud #bigdata #bioinformatics;669300791455391744
sjcockell;2015-11-23 10:13;#rstats and #bioconductor course this week - great to see plenty of returning faces for @nclbsu courses.;668734211092832260
seandavis12;2015-11-19 21:21;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/similaRpeak.html  similaRpeak Metrics to estimate a level of;667452624631898114
remyangela;2015-11-18 21:38;Tears of joy as my analysis finally works (AND makes sense!) #R #Bioconductor #DMRcate #epigenetics http:// bit.ly/1QNH6aI;667094580068802560
liz__is;2015-11-18 10:16;Paper for our GenomicInteractions #bioconductor pkg is out! http://www. biomedcentral.com/1471-2164/16/9 63/  Tools for manipulating + visualising HiC, ChiaPET, etc;666922945713950721
Yh_Taguchi;2015-11-17 04:40;biomaRt does not work use e.g., ensembl = useMart("ENSEMBL_MART_ENSEMBL",host=" http:// mart.ensembl.org ") #bioconductor;666475917045276672
Bioconductor;2015-11-14 05:07;#rstats / #Bioconductor new tutorial: Deseq2: RNA-seq and Negative binomial distribution https:// support.bioconductor.org/p/74572/;665395539622645760
DrMarkDunning;2015-11-10 15:23;Invites sent and European Bioc Dev meeting is shaping-up nicely. Timetable to be announced soon. #EuroBioC2015 #Bioconductor;664101151130914817
